CH1,CH2,CH3,CH4
7.59E-03,4.19E-03,-1.13E-01,-3.13E-03
6.61E-03,4.13E-03,-1.10E-01,-2.18E-03
5.29E-03,2.52E-03,-1.09E-01,-2.11E-03
5.44E-03,1.71E-03,-1.11E-01,-2.93E-03
6.86E-03,2.67E-03,-1.13E-01,-3.62E-03
7.58E-03,4.17E-03,-1.13E-01,-3.14E-03
6.61E-03,4.13E-03,-1.11E-01,-2.19E-03
5.30E-03,2.53E-03,-1.09E-01,-2.11E-03
5.43E-03,1.71E-03,-1.11E-01,-2.92E-03
6.85E-03,2.65E-03,-1.13E-01,-3.62E-03
7.58E-03,4.16E-03,-1.13E-01,-3.14E-03
6.62E-03,4.13E-03,-1.11E-01,-2.19E-03
5.30E-03,2.55E-03,-1.09E-01,-2.10E-03
5.43E-03,1.72E-03,-1.11E-01,-2.91E-03
6.84E-03,2.63E-03,-1.13E-01,-3.61E-03
7.57E-03,4.13E-03,-1.13E-01,-3.14E-03
6.62E-03,4.12E-03,-1.11E-01,-2.19E-03
5.31E-03,2.57E-03,-1.09E-01,-2.10E-03
5.43E-03,1.73E-03,-1.11E-01,-2.90E-03
6.82E-03,2.60E-03,-1.13E-01,-3.60E-03
7.55E-03,4.08E-03,-1.13E-01,-3.14E-03
6.61E-03,4.11E-03,-1.11E-01,-2.19E-03
5.31E-03,2.59E-03,-1.09E-01,-2.10E-03
5.43E-03,1.73E-03,-1.11E-01,-2.90E-03
6.81E-03,2.58E-03,-1.13E-01,-3.59E-03
7.53E-03,4.06E-03,-1.13E-01,-3.13E-03
6.61E-03,4.10E-03,-1.11E-01,-2.21E-03
5.32E-03,2.60E-03,-1.09E-01,-2.11E-03
5.43E-03,1.74E-03,-1.11E-01,-2.89E-03
6.78E-03,2.56E-03,-1.13E-01,-3.58E-03
7.51E-03,4.03E-03,-1.13E-01,-3.14E-03
6.61E-03,4.09E-03,-1.11E-01,-2.22E-03
5.34E-03,2.62E-03,-1.09E-01,-2.12E-03
5.43E-03,1.76E-03,-1.11E-01,-2.88E-03
6.77E-03,2.55E-03,-1.13E-01,-3.57E-03
7.51E-03,4.01E-03,-1.13E-01,-3.14E-03
6.62E-03,4.10E-03,-1.11E-01,-2.23E-03
5.33E-03,2.63E-03,-1.09E-01,-2.11E-03
5.42E-03,1.75E-03,-1.11E-01,-2.87E-03
6.76E-03,2.53E-03,-1.13E-01,-3.57E-03
7.50E-03,4.00E-03,-1.13E-01,-3.15E-03
6.62E-03,4.10E-03,-1.11E-01,-2.23E-03
5.33E-03,2.64E-03,-1.09E-01,-2.11E-03
5.41E-03,1.75E-03,-1.11E-01,-2.87E-03
6.74E-03,2.51E-03,-1.13E-01,-3.57E-03
7.50E-03,3.99E-03,-1.13E-01,-3.16E-03
6.63E-03,4.11E-03,-1.11E-01,-2.24E-03
5.34E-03,2.66E-03,-1.09E-01,-2.11E-03
5.41E-03,1.76E-03,-1.11E-01,-2.86E-03
6.74E-03,2.50E-03,-1.13E-01,-3.57E-03
7.51E-03,3.98E-03,-1.13E-01,-3.16E-03
6.64E-03,4.11E-03,-1.11E-01,-2.25E-03
5.35E-03,2.67E-03,-1.09E-01,-2.11E-03
5.41E-03,1.76E-03,-1.11E-01,-2.85E-03
6.74E-03,2.49E-03,-1.13E-01,-3.57E-03
7.51E-03,3.97E-03,-1.13E-01,-3.16E-03
6.65E-03,4.12E-03,-1.11E-01,-2.24E-03
5.36E-03,2.68E-03,-1.09E-01,-2.09E-03
5.41E-03,1.77E-03,-1.11E-01,-2.85E-03
6.74E-03,2.49E-03,-1.13E-01,-3.56E-03
7.51E-03,3.96E-03,-1.13E-01,-3.17E-03
6.67E-03,4.12E-03,-1.11E-01,-2.25E-03
5.37E-03,2.69E-03,-1.09E-01,-2.10E-03
5.41E-03,1.76E-03,-1.11E-01,-2.85E-03
6.73E-03,2.48E-03,-1.13E-01,-3.56E-03
7.51E-03,3.95E-03,-1.13E-01,-3.17E-03
6.67E-03,4.11E-03,-1.11E-01,-2.26E-03
5.37E-03,2.69E-03,-1.09E-01,-2.10E-03
5.41E-03,1.77E-03,-1.10E-01,-2.84E-03
6.72E-03,2.48E-03,-1.13E-01,-3.56E-03
7.51E-03,3.95E-03,-1.13E-01,-3.18E-03
6.68E-03,4.12E-03,-1.11E-01,-2.26E-03
5.38E-03,2.69E-03,-1.09E-01,-2.10E-03
5.41E-03,1.77E-03,-1.10E-01,-2.84E-03
6.72E-03,2.48E-03,-1.13E-01,-3.56E-03
7.51E-03,3.96E-03,-1.13E-01,-3.18E-03
6.68E-03,4.12E-03,-1.11E-01,-2.27E-03
5.38E-03,2.69E-03,-1.09E-01,-2.09E-03
5.39E-03,1.76E-03,-1.10E-01,-2.83E-03
6.71E-03,2.47E-03,-1.12E-01,-3.56E-03
7.51E-03,3.95E-03,-1.13E-01,-3.19E-03
6.69E-03,4.13E-03,-1.11E-01,-2.27E-03
5.38E-03,2.70E-03,-1.09E-01,-2.10E-03
5.39E-03,1.76E-03,-1.10E-01,-2.83E-03
6.70E-03,2.47E-03,-1.12E-01,-3.55E-03
7.51E-03,3.95E-03,-1.13E-01,-3.19E-03
6.69E-03,4.13E-03,-1.11E-01,-2.28E-03
5.38E-03,2.70E-03,-1.09E-01,-2.09E-03
5.39E-03,1.77E-03,-1.10E-01,-2.82E-03
6.70E-03,2.47E-03,-1.12E-01,-3.55E-03
7.51E-03,3.96E-03,-1.13E-01,-3.19E-03
6.70E-03,4.13E-03,-1.11E-01,-2.28E-03
5.39E-03,2.71E-03,-1.09E-01,-2.09E-03
5.38E-03,1.77E-03,-1.10E-01,-2.82E-03
6.69E-03,2.47E-03,-1.12E-01,-3.55E-03
7.51E-03,3.95E-03,-1.13E-01,-3.20E-03
6.71E-03,4.13E-03,-1.11E-01,-2.29E-03
5.39E-03,2.71E-03,-1.09E-01,-2.09E-03
5.39E-03,1.77E-03,-1.10E-01,-2.82E-03
6.68E-03,2.46E-03,-1.12E-01,-3.55E-03
7.51E-03,3.95E-03,-1.13E-01,-3.20E-03
6.72E-03,4.13E-03,-1.11E-01,-2.28E-03
5.40E-03,2.71E-03,-1.09E-01,-2.09E-03
5.38E-03,1.77E-03,-1.10E-01,-2.82E-03
6.68E-03,2.45E-03,-1.12E-01,-3.55E-03
7.51E-03,3.95E-03,-1.13E-01,-3.20E-03
6.72E-03,4.14E-03,-1.11E-01,-2.29E-03
5.40E-03,2.71E-03,-1.09E-01,-2.09E-03
5.38E-03,1.77E-03,-1.10E-01,-2.82E-03
6.69E-03,2.47E-03,-1.12E-01,-3.58E-03
7.51E-03,3.94E-03,-1.13E-01,-3.22E-03
6.71E-03,4.12E-03,-1.11E-01,-2.28E-03
5.38E-03,2.70E-03,-1.09E-01,-2.08E-03
5.34E-03,1.75E-03,-1.10E-01,-2.81E-03
6.63E-03,2.42E-03,-1.12E-01,-3.56E-03
7.47E-03,3.91E-03,-1.13E-01,-3.22E-03
6.69E-03,4.11E-03,-1.11E-01,-2.30E-03
5.36E-03,2.69E-03,-1.09E-01,-2.10E-03
5.33E-03,1.74E-03,-1.10E-01,-2.84E-03
6.61E-03,2.40E-03,-1.13E-01,-3.57E-03
7.48E-03,3.91E-03,-1.13E-01,-3.23E-03
6.72E-03,4.12E-03,-1.11E-01,-2.33E-03
5.37E-03,2.72E-03,-1.09E-01,-2.10E-03
5.35E-03,1.76E-03,-1.10E-01,-2.81E-03
6.65E-03,2.44E-03,-1.12E-01,-3.54E-03
7.52E-03,3.97E-03,-1.13E-01,-3.21E-03
6.78E-03,4.20E-03,-1.11E-01,-2.30E-03
5.47E-03,2.81E-03,-1.09E-01,-2.07E-03
5.44E-03,1.86E-03,-1.10E-01,-2.79E-03
6.73E-03,2.53E-03,-1.12E-01,-3.54E-03
7.61E-03,4.05E-03,-1.13E-01,-3.21E-03
6.87E-03,4.28E-03,-1.11E-01,-2.30E-03
5.55E-03,2.88E-03,-1.09E-01,-2.08E-03
5.49E-03,1.90E-03,-1.10E-01,-2.79E-03
6.76E-03,2.55E-03,-1.12E-01,-3.54E-03
7.63E-03,4.05E-03,-1.13E-01,-3.22E-03
6.89E-03,4.29E-03,-1.11E-01,-2.30E-03
5.54E-03,2.87E-03,-1.09E-01,-2.07E-03
5.47E-03,1.89E-03,-1.10E-01,-2.78E-03
6.75E-03,2.54E-03,-1.12E-01,-3.53E-03
7.62E-03,4.03E-03,-1.13E-01,-3.22E-03
6.88E-03,4.26E-03,-1.11E-01,-2.31E-03
5.54E-03,2.86E-03,-1.09E-01,-2.06E-03
5.46E-03,1.88E-03,-1.10E-01,-2.77E-03
6.72E-03,2.51E-03,-1.12E-01,-3.53E-03
7.61E-03,4.01E-03,-1.13E-01,-3.22E-03
6.87E-03,4.25E-03,-1.11E-01,-2.30E-03
5.52E-03,2.85E-03,-1.09E-01,-2.06E-03
5.44E-03,1.86E-03,-1.10E-01,-2.77E-03
6.71E-03,2.49E-03,-1.12E-01,-3.52E-03
7.59E-03,3.99E-03,-1.13E-01,-3.22E-03
6.86E-03,4.23E-03,-1.11E-01,-2.31E-03
5.52E-03,2.84E-03,-1.09E-01,-2.06E-03
5.43E-03,1.84E-03,-1.10E-01,-2.77E-03
6.69E-03,2.46E-03,-1.12E-01,-3.52E-03
7.58E-03,3.98E-03,-1.13E-01,-3.22E-03
6.85E-03,4.23E-03,-1.11E-01,-2.31E-03
5.50E-03,2.84E-03,-1.09E-01,-2.07E-03
5.41E-03,1.84E-03,-1.10E-01,-2.77E-03
6.67E-03,2.45E-03,-1.12E-01,-3.53E-03
7.56E-03,3.95E-03,-1.13E-01,-3.23E-03
6.84E-03,4.21E-03,-1.11E-01,-2.32E-03
5.49E-03,2.82E-03,-1.09E-01,-2.06E-03
5.39E-03,1.82E-03,-1.10E-01,-2.76E-03
6.64E-03,2.43E-03,-1.12E-01,-3.53E-03
7.55E-03,3.94E-03,-1.13E-01,-3.24E-03
6.84E-03,4.21E-03,-1.11E-01,-2.33E-03
5.48E-03,2.82E-03,-1.09E-01,-2.07E-03
5.37E-03,1.81E-03,-1.10E-01,-2.77E-03
6.63E-03,2.41E-03,-1.12E-01,-3.53E-03
7.54E-03,3.92E-03,-1.13E-01,-3.24E-03
6.83E-03,4.20E-03,-1.11E-01,-2.34E-03
5.48E-03,2.82E-03,-1.09E-01,-2.07E-03
5.36E-03,1.80E-03,-1.10E-01,-2.76E-03
6.61E-03,2.39E-03,-1.12E-01,-3.53E-03
7.53E-03,3.90E-03,-1.13E-01,-3.25E-03
6.83E-03,4.20E-03,-1.11E-01,-2.34E-03
5.48E-03,2.83E-03,-1.09E-01,-2.07E-03
5.36E-03,1.80E-03,-1.10E-01,-2.76E-03
6.60E-03,2.37E-03,-1.12E-01,-3.53E-03
7.52E-03,3.88E-03,-1.13E-01,-3.25E-03
6.83E-03,4.19E-03,-1.11E-01,-2.35E-03
5.47E-03,2.82E-03,-1.09E-01,-2.06E-03
5.34E-03,1.79E-03,-1.10E-01,-2.75E-03
6.58E-03,2.34E-03,-1.12E-01,-3.53E-03
7.52E-03,3.86E-03,-1.13E-01,-3.26E-03
6.83E-03,4.18E-03,-1.11E-01,-2.35E-03
5.47E-03,2.84E-03,-1.09E-01,-2.06E-03
5.34E-03,1.80E-03,-1.10E-01,-2.75E-03
6.58E-03,2.34E-03,-1.12E-01,-3.52E-03
7.51E-03,3.85E-03,-1.13E-01,-3.26E-03
6.83E-03,4.18E-03,-1.11E-01,-2.35E-03
5.47E-03,2.84E-03,-1.09E-01,-2.06E-03
5.33E-03,1.79E-03,-1.10E-01,-2.74E-03
6.57E-03,2.31E-03,-1.12E-01,-3.52E-03
7.50E-03,3.82E-03,-1.13E-01,-3.26E-03
6.83E-03,4.18E-03,-1.11E-01,-2.35E-03
5.47E-03,2.85E-03,-1.09E-01,-2.06E-03
5.32E-03,1.78E-03,-1.10E-01,-2.74E-03
6.56E-03,2.30E-03,-1.12E-01,-3.52E-03
7.50E-03,3.82E-03,-1.13E-01,-3.26E-03
6.83E-03,4.18E-03,-1.11E-01,-2.36E-03
5.47E-03,2.86E-03,-1.09E-01,-2.06E-03
5.31E-03,1.79E-03,-1.10E-01,-2.74E-03
6.55E-03,2.29E-03,-1.12E-01,-3.52E-03
7.50E-03,3.81E-03,-1.13E-01,-3.27E-03
6.83E-03,4.18E-03,-1.11E-01,-2.37E-03
5.47E-03,2.86E-03,-1.09E-01,-2.06E-03
5.31E-03,1.79E-03,-1.10E-01,-2.74E-03
6.54E-03,2.28E-03,-1.12E-01,-3.52E-03
7.49E-03,3.80E-03,-1.13E-01,-3.28E-03
6.84E-03,4.18E-03,-1.11E-01,-2.37E-03
5.47E-03,2.87E-03,-1.09E-01,-2.06E-03
5.31E-03,1.79E-03,-1.10E-01,-2.73E-03
6.53E-03,2.27E-03,-1.12E-01,-3.52E-03
7.49E-03,3.79E-03,-1.13E-01,-3.28E-03
6.84E-03,4.18E-03,-1.11E-01,-2.37E-03
5.48E-03,2.88E-03,-1.09E-01,-2.05E-03
5.31E-03,1.80E-03,-1.10E-01,-2.72E-03
6.53E-03,2.27E-03,-1.12E-01,-3.51E-03
7.49E-03,3.79E-03,-1.13E-01,-3.28E-03
6.85E-03,4.18E-03,-1.11E-01,-2.37E-03
5.48E-03,2.87E-03,-1.09E-01,-2.05E-03
5.31E-03,1.79E-03,-1.10E-01,-2.72E-03
6.53E-03,2.27E-03,-1.12E-01,-3.51E-03
7.49E-03,3.78E-03,-1.13E-01,-3.28E-03
6.86E-03,4.18E-03,-1.11E-01,-2.38E-03
5.49E-03,2.89E-03,-1.09E-01,-2.05E-03
5.31E-03,1.80E-03,-1.10E-01,-2.71E-03
6.52E-03,2.27E-03,-1.12E-01,-3.50E-03
7.50E-03,3.78E-03,-1.13E-01,-3.29E-03
6.87E-03,4.19E-03,-1.11E-01,-2.38E-03
5.50E-03,2.90E-03,-1.09E-01,-2.04E-03
5.32E-03,1.81E-03,-1.10E-01,-2.71E-03
6.53E-03,2.26E-03,-1.12E-01,-3.50E-03
7.51E-03,3.78E-03,-1.13E-01,-3.28E-03
6.89E-03,4.20E-03,-1.11E-01,-2.38E-03
5.52E-03,2.91E-03,-1.09E-01,-2.05E-03
5.32E-03,1.82E-03,-1.10E-01,-2.71E-03
6.53E-03,2.27E-03,-1.12E-01,-3.50E-03
7.51E-03,3.78E-03,-1.13E-01,-3.29E-03
6.89E-03,4.20E-03,-1.11E-01,-2.39E-03
5.51E-03,2.91E-03,-1.09E-01,-2.05E-03
5.31E-03,1.81E-03,-1.10E-01,-2.71E-03
6.50E-03,2.25E-03,-1.12E-01,-3.50E-03
7.49E-03,3.77E-03,-1.13E-01,-3.29E-03
6.87E-03,4.18E-03,-1.11E-01,-2.39E-03
5.51E-03,2.89E-03,-1.09E-01,-2.05E-03
5.30E-03,1.80E-03,-1.10E-01,-2.71E-03
6.50E-03,2.25E-03,-1.12E-01,-3.49E-03
7.49E-03,3.77E-03,-1.13E-01,-3.29E-03
6.88E-03,4.18E-03,-1.11E-01,-2.39E-03
5.52E-03,2.88E-03,-1.09E-01,-2.06E-03
5.30E-03,1.79E-03,-1.10E-01,-2.71E-03
6.49E-03,2.25E-03,-1.12E-01,-3.49E-03
7.48E-03,3.76E-03,-1.13E-01,-3.29E-03
6.87E-03,4.18E-03,-1.11E-01,-2.40E-03
5.52E-03,2.89E-03,-1.09E-01,-2.06E-03
5.31E-03,1.79E-03,-1.10E-01,-2.71E-03
6.48E-03,2.25E-03,-1.12E-01,-3.48E-03
7.46E-03,3.76E-03,-1.13E-01,-3.28E-03
6.87E-03,4.17E-03,-1.11E-01,-2.41E-03
5.53E-03,2.91E-03,-1.09E-01,-2.07E-03
5.32E-03,1.82E-03,-1.10E-01,-2.71E-03
6.48E-03,2.27E-03,-1.12E-01,-3.48E-03
7.45E-03,3.76E-03,-1.13E-01,-3.27E-03
6.87E-03,4.16E-03,-1.11E-01,-2.41E-03
5.54E-03,2.90E-03,-1.09E-01,-2.08E-03
5.32E-03,1.82E-03,-1.10E-01,-2.71E-03
6.47E-03,2.26E-03,-1.12E-01,-3.47E-03
7.44E-03,3.75E-03,-1.13E-01,-3.27E-03
6.87E-03,4.15E-03,-1.11E-01,-2.42E-03
5.55E-03,2.90E-03,-1.10E-01,-2.09E-03
5.34E-03,1.83E-03,-1.10E-01,-2.71E-03
6.48E-03,2.27E-03,-1.12E-01,-3.45E-03
7.44E-03,3.75E-03,-1.13E-01,-3.25E-03
6.88E-03,4.15E-03,-1.11E-01,-2.41E-03
5.57E-03,2.91E-03,-1.10E-01,-2.09E-03
5.35E-03,1.85E-03,-1.10E-01,-2.71E-03
6.47E-03,2.28E-03,-1.12E-01,-3.44E-03
7.42E-03,3.73E-03,-1.13E-01,-3.25E-03
6.86E-03,4.13E-03,-1.11E-01,-2.43E-03
5.56E-03,2.89E-03,-1.10E-01,-2.11E-03
5.35E-03,1.84E-03,-1.10E-01,-2.71E-03
6.46E-03,2.27E-03,-1.12E-01,-3.44E-03
7.42E-03,3.73E-03,-1.13E-01,-3.26E-03
6.87E-03,4.13E-03,-1.11E-01,-2.43E-03
5.58E-03,2.91E-03,-1.10E-01,-2.11E-03
5.36E-03,1.86E-03,-1.10E-01,-2.71E-03
6.46E-03,2.27E-03,-1.12E-01,-3.43E-03
7.41E-03,3.72E-03,-1.13E-01,-3.25E-03
6.88E-03,4.13E-03,-1.11E-01,-2.44E-03
5.59E-03,2.92E-03,-1.10E-01,-2.12E-03
5.36E-03,1.87E-03,-1.10E-01,-2.71E-03
6.45E-03,2.28E-03,-1.12E-01,-3.43E-03
7.41E-03,3.72E-03,-1.13E-01,-3.25E-03
6.88E-03,4.12E-03,-1.11E-01,-2.45E-03
5.60E-03,2.92E-03,-1.10E-01,-2.12E-03
5.36E-03,1.87E-03,-1.10E-01,-2.71E-03
6.45E-03,2.27E-03,-1.12E-01,-3.42E-03
7.40E-03,3.71E-03,-1.13E-01,-3.26E-03
6.88E-03,4.13E-03,-1.11E-01,-2.46E-03
5.60E-03,2.93E-03,-1.10E-01,-2.13E-03
5.37E-03,1.88E-03,-1.10E-01,-2.71E-03
6.44E-03,2.27E-03,-1.12E-01,-3.42E-03
7.39E-03,3.70E-03,-1.13E-01,-3.25E-03
6.88E-03,4.12E-03,-1.11E-01,-2.46E-03
5.61E-03,2.94E-03,-1.10E-01,-2.13E-03
5.37E-03,1.89E-03,-1.10E-01,-2.71E-03
6.44E-03,2.27E-03,-1.12E-01,-3.41E-03
7.38E-03,3.70E-03,-1.13E-01,-3.25E-03
6.87E-03,4.11E-03,-1.11E-01,-2.46E-03
5.61E-03,2.94E-03,-1.10E-01,-2.14E-03
5.37E-03,1.88E-03,-1.10E-01,-2.71E-03
6.43E-03,2.27E-03,-1.12E-01,-3.40E-03
7.38E-03,3.69E-03,-1.13E-01,-3.25E-03
6.88E-03,4.11E-03,-1.11E-01,-2.47E-03
5.63E-03,2.95E-03,-1.10E-01,-2.14E-03
5.38E-03,1.89E-03,-1.10E-01,-2.70E-03
6.42E-03,2.26E-03,-1.12E-01,-3.40E-03
7.37E-03,3.67E-03,-1.13E-01,-3.25E-03
6.88E-03,4.11E-03,-1.11E-01,-2.47E-03
5.63E-03,2.96E-03,-1.10E-01,-2.14E-03
5.37E-03,1.90E-03,-1.10E-01,-2.70E-03
6.42E-03,2.27E-03,-1.12E-01,-3.40E-03
7.37E-03,3.67E-03,-1.13E-01,-3.25E-03
6.88E-03,4.10E-03,-1.11E-01,-2.48E-03
5.63E-03,2.95E-03,-1.10E-01,-2.15E-03
5.38E-03,1.90E-03,-1.10E-01,-2.70E-03
6.42E-03,2.26E-03,-1.12E-01,-3.39E-03
7.36E-03,3.66E-03,-1.13E-01,-3.25E-03
6.88E-03,4.09E-03,-1.11E-01,-2.48E-03
5.65E-03,2.96E-03,-1.10E-01,-2.15E-03
5.40E-03,1.92E-03,-1.10E-01,-2.70E-03
6.42E-03,2.27E-03,-1.12E-01,-3.39E-03
7.35E-03,3.66E-03,-1.13E-01,-3.24E-03
6.88E-03,4.09E-03,-1.11E-01,-2.48E-03
5.65E-03,2.95E-03,-1.10E-01,-2.16E-03
5.40E-03,1.91E-03,-1.10E-01,-2.70E-03
6.42E-03,2.27E-03,-1.12E-01,-3.38E-03
7.35E-03,3.66E-03,-1.13E-01,-3.24E-03
6.88E-03,4.08E-03,-1.11E-01,-2.48E-03
5.66E-03,2.95E-03,-1.10E-01,-2.16E-03
5.40E-03,1.92E-03,-1.10E-01,-2.71E-03
6.41E-03,2.28E-03,-1.12E-01,-3.38E-03
7.34E-03,3.66E-03,-1.13E-01,-3.23E-03
6.87E-03,4.08E-03,-1.11E-01,-2.49E-03
5.66E-03,2.96E-03,-1.10E-01,-2.17E-03
5.41E-03,1.93E-03,-1.10E-01,-2.71E-03
6.41E-03,2.27E-03,-1.12E-01,-3.37E-03
7.33E-03,3.65E-03,-1.13E-01,-3.22E-03
6.87E-03,4.07E-03,-1.11E-01,-2.49E-03
5.66E-03,2.96E-03,-1.10E-01,-2.18E-03
5.41E-03,1.93E-03,-1.10E-01,-2.71E-03
6.40E-03,2.27E-03,-1.12E-01,-3.36E-03
7.31E-03,3.64E-03,-1.13E-01,-3.22E-03
6.85E-03,4.06E-03,-1.11E-01,-2.49E-03
5.67E-03,2.95E-03,-1.10E-01,-2.19E-03
5.43E-03,1.94E-03,-1.10E-01,-2.72E-03
6.40E-03,2.28E-03,-1.12E-01,-3.35E-03
7.30E-03,3.64E-03,-1.13E-01,-3.20E-03
6.84E-03,4.05E-03,-1.11E-01,-2.49E-03
5.66E-03,2.94E-03,-1.10E-01,-2.20E-03
5.43E-03,1.94E-03,-1.10E-01,-2.72E-03
6.40E-03,2.29E-03,-1.12E-01,-3.34E-03
7.28E-03,3.63E-03,-1.13E-01,-3.19E-03
6.82E-03,4.03E-03,-1.11E-01,-2.48E-03
5.67E-03,2.92E-03,-1.10E-01,-2.20E-03
5.44E-03,1.93E-03,-1.10E-01,-2.72E-03
6.39E-03,2.29E-03,-1.12E-01,-3.33E-03
7.26E-03,3.63E-03,-1.13E-01,-3.17E-03
6.80E-03,4.01E-03,-1.11E-01,-2.48E-03
5.65E-03,2.90E-03,-1.10E-01,-2.22E-03
5.43E-03,1.92E-03,-1.10E-01,-2.73E-03
6.38E-03,2.29E-03,-1.12E-01,-3.32E-03
7.23E-03,3.62E-03,-1.12E-01,-3.16E-03
6.77E-03,3.98E-03,-1.11E-01,-2.48E-03
5.65E-03,2.88E-03,-1.10E-01,-2.23E-03
5.43E-03,1.91E-03,-1.10E-01,-2.74E-03
6.37E-03,2.29E-03,-1.12E-01,-3.31E-03
7.21E-03,3.60E-03,-1.12E-01,-3.14E-03
6.74E-03,3.96E-03,-1.11E-01,-2.48E-03
5.63E-03,2.86E-03,-1.10E-01,-2.23E-03
5.43E-03,1.91E-03,-1.10E-01,-2.73E-03
6.35E-03,2.27E-03,-1.12E-01,-3.30E-03
7.18E-03,3.59E-03,-1.12E-01,-3.13E-03
6.73E-03,3.94E-03,-1.11E-01,-2.48E-03
5.63E-03,2.85E-03,-1.10E-01,-2.24E-03
5.42E-03,1.90E-03,-1.10E-01,-2.74E-03
6.33E-03,2.28E-03,-1.12E-01,-3.29E-03
7.16E-03,3.58E-03,-1.12E-01,-3.13E-03
6.71E-03,3.92E-03,-1.11E-01,-2.48E-03
5.62E-03,2.83E-03,-1.10E-01,-2.25E-03
5.42E-03,1.89E-03,-1.10E-01,-2.74E-03
6.33E-03,2.27E-03,-1.12E-01,-3.28E-03
7.14E-03,3.57E-03,-1.12E-01,-3.11E-03
6.70E-03,3.90E-03,-1.11E-01,-2.47E-03
5.61E-03,2.81E-03,-1.10E-01,-2.25E-03
5.41E-03,1.88E-03,-1.10E-01,-2.74E-03
6.31E-03,2.27E-03,-1.12E-01,-3.27E-03
7.11E-03,3.55E-03,-1.12E-01,-3.10E-03
6.67E-03,3.88E-03,-1.11E-01,-2.47E-03
5.61E-03,2.79E-03,-1.10E-01,-2.26E-03
5.41E-03,1.87E-03,-1.10E-01,-2.75E-03
6.31E-03,2.26E-03,-1.12E-01,-3.27E-03
7.11E-03,3.54E-03,-1.12E-01,-3.10E-03
6.68E-03,3.87E-03,-1.11E-01,-2.48E-03
5.64E-03,2.80E-03,-1.10E-01,-2.28E-03
5.45E-03,1.89E-03,-1.10E-01,-2.76E-03
6.33E-03,2.28E-03,-1.12E-01,-3.28E-03
7.14E-03,3.56E-03,-1.12E-01,-3.11E-03
6.71E-03,3.89E-03,-1.11E-01,-2.49E-03
5.67E-03,2.82E-03,-1.10E-01,-2.29E-03
5.47E-03,1.91E-03,-1.10E-01,-2.76E-03
6.36E-03,2.30E-03,-1.12E-01,-3.27E-03
7.15E-03,3.57E-03,-1.12E-01,-3.11E-03
6.73E-03,3.91E-03,-1.11E-01,-2.50E-03
5.69E-03,2.85E-03,-1.10E-01,-2.29E-03
5.48E-03,1.93E-03,-1.10E-01,-2.76E-03
6.36E-03,2.31E-03,-1.12E-01,-3.27E-03
7.16E-03,3.58E-03,-1.12E-01,-3.11E-03
6.75E-03,3.91E-03,-1.11E-01,-2.51E-03
5.70E-03,2.86E-03,-1.10E-01,-2.30E-03
5.49E-03,1.95E-03,-1.10E-01,-2.76E-03
6.36E-03,2.31E-03,-1.12E-01,-3.26E-03
7.15E-03,3.57E-03,-1.12E-01,-3.11E-03
6.74E-03,3.91E-03,-1.11E-01,-2.51E-03
5.71E-03,2.86E-03,-1.10E-01,-2.29E-03
5.49E-03,1.95E-03,-1.10E-01,-2.75E-03
6.35E-03,2.31E-03,-1.12E-01,-3.26E-03
7.15E-03,3.57E-03,-1.12E-01,-3.11E-03
6.76E-03,3.92E-03,-1.11E-01,-2.51E-03
5.72E-03,2.88E-03,-1.10E-01,-2.29E-03
5.49E-03,1.95E-03,-1.10E-01,-2.75E-03
6.36E-03,2.31E-03,-1.12E-01,-3.27E-03
7.17E-03,3.58E-03,-1.12E-01,-3.13E-03
6.78E-03,3.94E-03,-1.11E-01,-2.52E-03
5.73E-03,2.90E-03,-1.10E-01,-2.28E-03
5.49E-03,1.97E-03,-1.10E-01,-2.74E-03
6.35E-03,2.30E-03,-1.12E-01,-3.28E-03
7.19E-03,3.57E-03,-1.12E-01,-3.15E-03
6.81E-03,3.97E-03,-1.11E-01,-2.53E-03
5.74E-03,2.94E-03,-1.10E-01,-2.26E-03
5.47E-03,1.98E-03,-1.10E-01,-2.72E-03
6.34E-03,2.29E-03,-1.12E-01,-3.28E-03
7.20E-03,3.57E-03,-1.12E-01,-3.16E-03
6.84E-03,3.98E-03,-1.11E-01,-2.53E-03
5.75E-03,2.96E-03,-1.10E-01,-2.25E-03
5.48E-03,1.99E-03,-1.10E-01,-2.71E-03
6.34E-03,2.28E-03,-1.12E-01,-3.28E-03
7.22E-03,3.56E-03,-1.12E-01,-3.18E-03
6.86E-03,3.99E-03,-1.11E-01,-2.54E-03
5.77E-03,2.99E-03,-1.10E-01,-2.24E-03
5.47E-03,1.99E-03,-1.10E-01,-2.69E-03
6.33E-03,2.27E-03,-1.12E-01,-3.28E-03
7.23E-03,3.56E-03,-1.13E-01,-3.20E-03
6.89E-03,4.01E-03,-1.11E-01,-2.55E-03
5.78E-03,3.01E-03,-1.10E-01,-2.23E-03
5.46E-03,2.00E-03,-1.10E-01,-2.68E-03
6.32E-03,2.25E-03,-1.12E-01,-3.28E-03
7.24E-03,3.55E-03,-1.13E-01,-3.23E-03
6.91E-03,4.02E-03,-1.11E-01,-2.57E-03
5.78E-03,3.03E-03,-1.10E-01,-2.21E-03
5.45E-03,2.01E-03,-1.10E-01,-2.65E-03
6.31E-03,2.25E-03,-1.12E-01,-3.28E-03
7.25E-03,3.54E-03,-1.13E-01,-3.22E-03
